publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Kanstrup et al. 2014";"Nørretranders";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6499";"ÅHM 4473;X8656";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7537";"Grain";"";"";"";"";"";"10399";"-23.7";"6.8";"";"";"";"";"18.8";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Nørretranders";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6500";"ÅHM 4473;X263";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7538";"Grain";"";"";"";"";"";"10353";"-23.6";"5.7";"";"";"";"";"22.1";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Nørretranders";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6500";"ÅHM 4473;X263";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7538";"Grain";"";"";"";"";"";"10400";"-23.5";"6.3";"";"";"";"";"26.2";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Kildebjerg I";"";"Denmark";"Central Jutland Region";"Samsø";"55.8700333";"10.6199806";"2";"2";"6501";"SBM 983;P10";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7539";"Grain";"";"";"";"";"";"10354";"-23.6";"5.0";"";"";"";"";"18.7";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Kildebjerg I";"";"Denmark";"Central Jutland Region";"Samsø";"55.8700333";"10.6199806";"2";"2";"6501";"SBM 983;P10";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7539";"Grain";"";"";"";"";"";"10401";"-23.3";"6.1";"";"";"";"";"20.1";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Overbygård";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6502";"FHM 1790;CBS";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7540";"Grain";"";"";"";"";"";"10355";"-23.5";"6.7";"";"";"";"";"21.5";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Nørre Hedegård";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6503";"ÅHM 3844;X3985";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7541";"Grain";"";"";"";"";"";"10356";"-23.9";"5.3";"";"";"";"";"16.7";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Nørre Hedegård";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6503";"ÅHM 3844;X3985";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7541";"Grain";"";"";"";"";"";"10402";"-22.4";"6.3";"";"";"";"";"17.6";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Smedegård";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6504";"THY 2960;X895";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7542";"Grain";"";"";"";"";"";"10357";"-24.5";"8.1";"";"";"";"";"22.9";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Dalshøj";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6505";"BMR 1639";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Triticum";"Triticum dicoccum";"7543";"Grain";"";"";"";"";"";"10358";"-23.4";"1.9";"";"";"";"";"18.3";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Dalshøj";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6505";"BMR 1639";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Triticum";"Triticum dicoccum";"7543";"Grain";"";"";"";"";"";"10403";"-22.9";"2.1";"";"";"";"";"14.7";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Blæshøj";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6506";"VHM 151/1982;X9";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Triticum";"Triticum dicoccum";"7544";"Grain";"";"";"";"";"";"10359";"-22.0";"5.2";"";"";"";"";"16.1";"";"";"";"";"";"";"";"";"";"";""
"Kanstrup et al. 2014";"Blæshøj";"";"Denmark";"Central Jutland Region";"";"56.1666670";"9.5000000";"44";"70";"6506";"VHM 151/1982;X9";"Plant";"-500";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Triticum";"Triticum dicoccum";"7544";"Grain";"";"";"";"";"";"10404";"-24.1";"6.6";"";"";"";"";"22.9";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7584";"(ANLS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13847";"Grain";"";"";"";"";"";"16221";"-24.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7585";"(BFS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13848";"Grain";"";"";"";"";"";"16222";"-24.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7586";"(DT)";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13849";"Grain";"";"";"";"";"";"16223";"-23.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7587";"(EF)";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13850";"Grain";"";"";"";"";"";"16224";"-22.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7588";"(KLPTS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13851";"Grain";"";"";"";"";"";"16225";"-24.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7589";"(MG)";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13852";"Grain";"";"";"";"";"";"16226";"-23.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7590";"(PLKRNS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13853";"Grain";"";"";"";"";"";"16227";"-24.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7591";"(PTLTS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13854";"Grain";"";"";"";"";"";"16228";"-24.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7592";"(PNS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13855";"Grain";"";"";"";"";"";"16229";"-23.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7593";"(TL)";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13856";"Grain";"";"";"";"";"";"16230";"-22.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7594";"(TSGRS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13857";"Grain";"";"";"";"";"";"16231";"-24.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7595";"(TT)";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13858";"Grain";"";"";"";"";"";"16232";"-22.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7596";"(STS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13859";"Grain";"";"";"";"";"";"16233";"-24.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Assiros";"";"Greece";"Central Macedonia";"Assiros";"40.8208330";"23.0308330";"22";"185";"7597";"(TSTSS)";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13860";"Grain";"";"";"";"";"";"16234";"-24.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7598";"1";"Plant";"1992";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13861";"Grain";"";"";"";"";"";"16235";"-24.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7599";"2";"Plant";"1994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13862";"Grain";"";"";"";"";"";"16236";"-24.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7600";"3";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13863";"Grain";"";"";"";"";"";"16237";"-23.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7601";"4";"Plant";"1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13864";"Grain";"";"";"";"";"";"16238";"-25.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7602";"5";"Plant";"1997";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13865";"Grain";"";"";"";"";"";"16239";"-23.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7603";"6";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13866";"Grain";"";"";"";"";"";"16240";"-25.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7604";"7";"Plant";"1999";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13867";"Grain";"";"";"";"";"";"16241";"-25.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7605";"8";"Plant";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13868";"Grain";"";"";"";"";"";"16242";"-25.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7606";"9";"Plant";"2001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13869";"Grain";"";"";"";"";"";"16243";"-23.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7607";"10";"Plant";"2002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13870";"Grain";"";"";"";"";"";"16244";"-23.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7608";"11";"Plant";"1991";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13871";"Grain";"";"";"";"";"";"16245";"-23.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7609";"12";"Plant";"1992";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13872";"Grain";"";"";"";"";"";"16246";"-23.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7610";"13";"Plant";"1993";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13873";"Grain";"";"";"";"";"";"16247";"-23.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7611";"14";"Plant";"1994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13874";"Grain";"";"";"";"";"";"16248";"-23.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7612";"15";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13875";"Grain";"";"";"";"";"";"16249";"-21.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7613";"16";"Plant";"1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13876";"Grain";"";"";"";"";"";"16250";"-23.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Agios Mamas";"";"Greece";"Central Macedonia";"Nea Moudani";"40.2594120";"23.3351010";"2";"10";"7614";"17";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13877";"Grain";"";"";"";"";"";"16251";"-23.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Examili";"";"Greece";"Central Macedonia";"Assiros";"40.8650000";"23.0058330";"26";"252";"7615";"";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13878";"Grain";"";"";"";"";"";"16252";"-24.6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Haliartos";"";"Greece";"Central Greece";"Haliartos";"38.3690370";"23.1054490";"19";"112";"7616";"";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13879";"Grain";"";"";"";"";"";"16253";"-25.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Krithia";"";"Greece";"Central Macedonia";"Assiros";"40.8408330";"22.9833330";"23";"213";"7617";"";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13880";"Grain";"";"";"";"";"";"16254";"-24.9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Krithia/Examili";"";"Greece";"Central Macedonia";"Assiros";"40.8533220";"22.9969250";"25";"208";"7618";"";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13881";"Grain";"";"";"";"";"";"16255";"-24.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Megali Volvi";"";"Greece";"Central Macedonia";"Askos";"40.6950000";"23.4266670";"23";"37";"7619";"";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13882";"Grain";"";"";"";"";"";"16256";"-25.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Nea Zoe";"";"Greece";"Central Macedonia";"Edessa";"40.8512800";"22.1032920";"126";"59";"7620";"1";"Plant";"1994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13883";"Grain";"";"";"";"";"";"16257";"-26.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Nea Zoe";"";"Greece";"Central Macedonia";"Edessa";"40.8512800";"22.1032920";"126";"59";"7621";"2";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13884";"Grain";"";"";"";"";"";"16258";"-25.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Orestiada";"";"Greece";"Eastern Macedonia and Thrace";"Orestiada";"41.5000000";"26.5333330";"88";"39";"7622";"";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13885";"Grain";"";"";"";"";"";"16259";"-26.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Serres";"";"Greece";"Central Macedonia";"Serres";"41.0833330";"23.5500000";"40";"40";"7623";"";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13886";"Grain";"";"";"";"";"";"16260";"-26.2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7624";"1";"Plant";"1993";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13887";"Grain";"";"";"";"";"";"16261";"-24.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7625";"2";"Plant";"1994";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13888";"Grain";"";"";"";"";"";"16262";"-26.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7626";"3";"Plant";"1995";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13889";"Grain";"";"";"";"";"";"16263";"-25.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7627";"4";"Plant";"1996";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13890";"Grain";"";"";"";"";"";"16264";"-26.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7628";"5";"Plant";"1997";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13891";"Grain";"";"";"";"";"";"16265";"-24.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7629";"6";"Plant";"1998";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13892";"Grain";"";"";"";"";"";"16266";"-24.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7630";"7";"Plant";"1999";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13893";"Grain";"";"";"";"";"";"16267";"-24.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Heaton et al. 2009";"Thessaloniki";"";"Greece";"Central Macedonia";"Thessaloniki";"40.6631450";"22.9289060";"3";"31";"7631";"8";"Plant";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13894";"Grain";"";"";"";"";"";"16268";"-25.7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
