publications;siteName;siteType;country;region;town;lat;lon;distCoastKm;elevationM;refIndividualIsoarch;refIndividualInPubli;individualType;individualRelDatingLowerLimit;individualRelDatingUpperLimit;individualRelDatingIsReliable;individualAbsDatingMatIsOrganic;individualAbsDatingLabNum;individualAbsDatingConvAgeMean;individualAbsDatingConvAgeUncertainity;individualAbsDating2SigmaCalibratedResLowerLimit;humanSex;agePubliClassName;humanAgeClass;humanAgeEstimMin;humanAgeEstimMax;humanStatureCm;humanBonePreservLevel;humanSkelRepresLevel;funeraryStructNum;funeraryDepositionType;funeraryInhumationType1;funeraryInhumationType2;funeraryContainerType;funeraryBurialType1;funeraryBurialType2;funeraryInhumationPosition;funeraryBodyOrientation;faunaClass;faunaOrder;faunaFamily;faunaSubfamily;faunaGenus;faunaSpecies;plantMetabolism;plantFamily;plantGenus;plantSpecies;refSampleIsoarch;sampleType;sampleSubType;skelPart;teethCategory;teethType;teethNum;refMeasureOrganicIsoarch;d13C;d15N;d34S;%Col;%C;%N;C/N;measureOrganiclChronologicalOrder;dDOrganic;refMeasureMineralIsoarch;d13CCarb;d18OCarb;d13CPhos;d18OPhos;dDMineral;Sr87/Sr86;srConcentration;measureMineralChronologicalOrder
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6400";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"Sorghum";"";"7438";"Leaf";"";"";"";"";"";"10253";"-11.7";"-0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6401";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Poaceae";"Sorghum";"";"7439";"Seed";"";"";"";"";"";"10254";"-11.3";"-1.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6402";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Brassicaceae";"Brassica";"Brassica nigra";"7440";"Leaf";"";"";"";"";"";"10255";"-30.0";"-6.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6403";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Fabaceae";"Medicago";"Medicago sativa";"7441";"Leaf";"";"";"";"";"";"10256";"-27.3";"-0.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6404";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Asteraceae";"Carthamus";"Carthamus tinctorius";"7442";"Leaf";"";"";"";"";"";"10257";"-29.0";"7.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6405";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Lamiaceae";"Ocimum";"Ocimum basilicum";"7443";"Leaf";"";"";"";"";"";"10258";"-28.8";"11.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6406";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Apiaceae";"Petroselinum";"Petroselinum crispum";"7444";"Leaf";"";"";"";"";"";"10259";"-28.1";"2.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6407";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Arecaceae";"Phoenix";"Phoenix dactylifera";"7445";"Pit";"";"";"";"";"";"10260";"-26.1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras 1999, Dupras et al. 2001";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6408";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Arecaceae";"Phoenix";"Phoenix dactylifera";"7446";"Fruit";"";"";"";"";"";"10261";"-25.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Dupras et al. 2001, Dupras 1999";"Kellis";"";"Egypt";"Dakhleh Oasis";"Kellis";"25.5158330";"29.0955560";"501";"123";"6409";"";"Plant";"1900";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C3";"Poaceae";"Hordeum";"Hordeum vulgare";"7447";"Seed";"";"";"";"";"";"10262";"-25.9";"3.4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
